RUN	DATE	JOE	BILL	JACK	JOHN
665	8.01.2018	9646	9621	10167	9836
666	9.01.2018	9654	9610	10097	9852
667	10.01.2018	9639	9617	10213	9739
668	11.01.2018	9646	9619	10088	9743
669	12.01.2018	9653	9624	10183	9752
670	13.01.2018	9639	9618	10107	9786
671	14.01.2018	9659	9614	10125	9771
672	15.01.2018	9643	9625	10132	9757
673	16.01.2018	9653	9620	10125	9851
674	17.01.2018	9655	9620	10150	9828
675	18.01.2018	9651	9622	10135	9804
676	19.01.2018	9644	9621	10201	9764
677	20.01.2018	9641	9616	10238	9872
678	21.01.2018	9653	9613	10147	9765
679	22.01.2018	9651	9618	10136	9735
680	23.01.2018	9664	9616	10268	9794
681	24.01.2018	9650	9627	10115	9763
682	25.01.2018	9649	9620	10250	9820
683	26.01.2018	9659	9622	10181	9883
684	27.01.2018	9647	9616	10258	9807
685	28.01.2018	9655	9630	10200	9731
686	29.01.2018	9643	9614	10145	9777
687	30.01.2018	9635	9602	10146	9804
688	31.01.2018	9639	9606	10211	9860
689	1.02.2018	9648	9599	10176	9881
690	2.02.2018	9638	9600	10066	9805
691	3.02.2018	9641	9594	10233	9801
692	4.02.2018	9627	9597	10076	9850
693	5.02.2018	9626	9592	10166	9870
694	6.02.2018	9623	9603	10079	9834
695	7.02.2018	9632	9594	10185	9747
696	8.02.2018	9632	9593	10132	9765
697	9.02.2018	9616	9586	10147	9859
698	10.02.2018	9628	9582	10161	9789
699	11.02.2018	9624	9589	10222	9856
700	12.02.2018	9621	9576	10102	9809
701	13.02.2018	9612	9578	10103	9740
702	14.02.2018	9604	9572	10082	9656
703	15.02.2018	9614	9569	10047	9731
704	16.02.2018	9608	9573	10048	9779
705	17.02.2018	9606	9570	10040	9703
706	18.02.2018	9594	9565	10193	9828
707	19.02.2018	9604	9562	10096	9701
708	20.02.2018	9595	9561	10133	9772
709	21.02.2018	9597	9562	10187	9723
710	22.02.2018	9586	9542	10097	9692
711	23.02.2018	9591	9544	10073	9817
712	24.02.2018	9579	9548	10010	9616
713	25.02.2018	9590	9532	10091	9811
714	26.02.2018	9581	9544	10130	9682
715	27.02.2018	9586	9527	10157	9730
716	28.02.2018	9571	9527	10099	9694
717	1.03.2018	9562	9535	10104	9641
718	2.03.2018	9575	9532	10028	9515
719	3.03.2018	9576	9533	10036	9514
720	4.03.2018	9575	9524	10056	9517
721	5.03.2018	9575	9529	10172	9529
722	6.03.2018	9568	9520	10003	9509
723	7.03.2018	9562	9537	10186	9517
724	8.03.2018	9566	9524	10013	9512
725	9.03.2018	9560	9518	10148	9516
726	10.03.2018	9569	9530	10150	9527
727	11.03.2018	9568	9514	10152	9504
728	12.03.2018	9558	9522	10041	9506
729	13.03.2018	9562	9513	10140	9502
730	14.03.2018	9569	9513	10146	9502
731	15.03.2018	9552	9503	9990	9486
732	16.03.2018	9565	9515	10078	9515
733	17.03.2018	9556	9510	10125	9480
734	18.03.2018	9560	9505	10109	9490
735	19.03.2018	9547	9497	10024	9498
736	20.03.2018	9552	9492	10005	9530
737	21.03.2018	9553	9499	10003	9430
738	22.03.2018	9537	9488	10014	9450
739	23.03.2018	9543	9493	10150	9480
