RUN	DATE	JOE	BILL	JACK	JOHN	SUSPECT
606	10.11.2017	9699	9693	10263	9836	0
607	11.11.2017	9713	9695	10138	9793	0
608	12.11.2017	9713	9690	10306	9822	0
609	13.11.2017	9712	9703	10294	9882	0
610	14.11.2017	9700	9679	10276	9806	0
611	15.11.2017	9696	9687	10146	9942	0
612	16.11.2017	9709	9692	10257	9954	0
613	17.11.2017	9707	9683	10157	9896	0
614	18.11.2017	9701	9672	10306	9962	0
615	19.11.2017	9694	9682	10149	9764	0
616	20.11.2017	9701	9685	10187	9767	0
617	21.11.2017	9687	9678	10109	9912	0
618	22.11.2017	9682	9680	10134	9849	0
619	23.11.2017	9680	9680	10200	9888	0
620	24.11.2017	9698	9675	10175	9793	0
621	25.11.2017	9695	9661	10198	9831	0
622	26.11.2017	9679	9657	10208	9845	0
623	27.11.2017	9691	9653	10288	9882	0
624	28.11.2017	9686	9659	10190	9770	0
625	29.11.2017	9678	9666	10259	9786	0
626	30.11.2017	9676	9665	10234	9764	0
627	1.12.2017	9680	9664	10154	9877	0
628	2.12.2017	9680	9647	10112	9772	0
629	3.12.2017	9665	9653	10146	9901	0
630	4.12.2017	9665	9650	10141	9806	0
631	5.12.2017	9676	9653	10090	9806	0
632	6.12.2017	9675	9637	10102	9771	0
633	7.12.2017	9656	9632	10151	9857	0
634	8.12.2017	9672	9658	10138	9810	0
635	9.12.2017	9676	9650	10228	9912	0
636	10.12.2017	9673	9664	10119	9854	0
637	11.12.2017	9694	9660	10276	9939	0
638	12.12.2017	9676	9654	10282	9911	0
639	13.12.2017	9722	9691	10228	9929	0
640	14.12.2017	9725	9683	10275	9866	0
641	15.12.2017	9711	9689	10184	9873	0
642	16.12.2017	9731	9710	10237	9823	0
643	17.12.2017	9733	9718	10202	9939	0
644	18.12.2017	9675	9649	10265	9794	0
645	19.12.2017	9668	9654	10095	9833	0
646	20.12.2017	9675	9651	10212	9783	0
647	21.12.2017	9662	9633	10177	9842	0
648	22.12.2017	13665	13642	14176	13891	0
649	23.12.2017	9666	9643	10110	9756	0
650	24.12.2017	9661	9639	10092	9758	0
651	25.12.2017	9658	9627	10145	9798	0
652	26.12.2017	9648	9622	10253	9932	0
653	27.12.2017	9645	9634	10228	9745	0
654	28.12.2017	9651	9621	10236	9777	0
655	29.12.2017	9658	9617	10080	9738	0
656	30.12.2017	9648	9616	10082	9794	0
657	31.12.2017	9646	9615	10106	9744	0
658	1.01.2018	9652	9613	10076	9789	0
659	2.01.2018	9646	9618	10264	9896	0
660	3.01.2018	9649	9628	10243	9779	0
661	4.01.2018	9644	9620	10169	9877	0
662	5.01.2018	9659	9630	10197	9906	0
663	6.01.2018	9658	9614	10222	9867	0
664	7.01.2018	9652	9616	10117	9875	0
665	8.01.2018	9646	9621	10167	9836	0
666	9.01.2018	9654	9610	10097	9852	0
667	10.01.2018	9639	9617	10213	9739	0
668	11.01.2018	9646	9619	10088	9743	0
669	12.01.2018	9653	9624	10183	9752	0
670	13.01.2018	9639	9618	10107	9786	0
671	14.01.2018	9659	9614	10125	9771	0
672	15.01.2018	9643	9625	10132	9757	0
673	16.01.2018	9653	9620	10125	9851	0
674	17.01.2018	9655	9620	10150	9828	0
675	18.01.2018	9651	9622	10135	9804	0
676	19.01.2018	9644	9621	10201	9764	0
677	20.01.2018	9641	9616	10238	9872	0
678	21.01.2018	9653	9613	10147	9765	0
679	22.01.2018	9651	9618	10136	9735	0
680	23.01.2018	9664	9616	10268	9794	0
681	24.01.2018	9650	9627	10115	9763	0
682	25.01.2018	9649	9620	10250	9820	0
683	26.01.2018	9659	9622	10181	9883	0
684	27.01.2018	9647	9616	10258	9807	0
685	28.01.2018	9655	9630	10200	9731	0
686	29.01.2018	9643	9614	10145	9777	0
687	30.01.2018	9635	9602	10146	9804	0
688	31.01.2018	9639	9606	10211	9860	0
689	1.02.2018	9648	9599	10176	9881	0
690	2.02.2018	9638	9600	10066	9805	0
691	3.02.2018	9641	9594	10233	9801	0
692	4.02.2018	9627	9597	10076	9850	0
693	5.02.2018	9626	9592	10166	9870	0
694	6.02.2018	9623	9603	10079	9834	0
695	7.02.2018	9632	9594	10185	9747	0
696	8.02.2018	9632	9593	10132	9765	0
697	9.02.2018	9616	9586	10147	9859	0
698	10.02.2018	9628	9582	10161	9789	0
699	11.02.2018	9624	9589	10222	9856	0
700	12.02.2018	9621	9576	10102	9809	0
701	13.02.2018	9612	9578	10103	9740	0
702	14.02.2018	9604	9572	10082	9656	0
703	15.02.2018	9614	9569	10047	9731	0
704	16.02.2018	9608	9573	10048	9779	0
705	17.02.2018	9606	9570	10040	9703	0
706	18.02.2018	9594	9565	10193	9828	0
707	19.02.2018	9604	9562	10096	9701	0
708	20.02.2018	9595	9561	10133	9772	0
709	21.02.2018	9597	9562	10187	9723	0
710	22.02.2018	9586	9542	10097	9692	0
711	23.02.2018	9591	9544	10073	9817	0
712	24.02.2018	9579	9548	10010	9616	0
713	25.02.2018	9590	9532	10091	9811	0
714	26.02.2018	9581	9544	10130	9682	0
715	27.02.2018	9586	9527	10157	9730	0
716	28.02.2018	9571	9527	10099	9694	0
717	1.03.2018	9562	9535	10104	9641	0
718	2.03.2018	9575	9532	10028	9515	1
719	3.03.2018	9576	9533	10036	9514	1
720	4.03.2018	9575	9524	10056	9517	1
721	5.03.2018	9575	9529	10172	9529	1
722	6.03.2018	9568	9520	10003	9509	1
723	7.03.2018	9562	9537	10186	9517	1
724	8.03.2018	9566	9524	10013	9512	1
725	9.03.2018	9560	9518	10148	9516	1
726	10.03.2018	9569	9530	10150	9527	1
727	11.03.2018	9568	9514	10152	9504	1
728	12.03.2018	9558	9522	10041	9506	1
729	13.03.2018	9562	9513	10140	9502	1
730	14.03.2018	9569	9513	10146	9502	1
731	15.03.2018	9552	9503	9990	9486	1
732	16.03.2018	9565	9515	10078	9515	1
733	17.03.2018	9556	9510	10125	9480	1
734	18.03.2018	9560	9505	10109	9490	1
735	19.03.2018	9547	9497	10024	9498	1
736	20.03.2018	9552	9492	10005	9530	1
737	21.03.2018	9553	9499	10003	9430	1
738	22.03.2018	9537	9488	10014	9450	1
739	23.03.2018	9543	9493	10150	9480	1
